id,sku,entity_type_id,attribute_set_id,name,weight,status,visibility,part_type,price,tax,category_ids,media,short_desc,desc,meta_title,meta_keyword,meta_desc
427,5SE01,4,15,"For iPhone SE Charge & Audio Flex Black",0.1000,1,4,78,8.7600,0,293,/5/s/5se01.jpg;/5/s/5se01-1.jpg,"iPhone SE Charge & Audio Flex Black
","iPhone SE Charge & Audio Flex Black",,,
387,5G-002,4,15,"For iPhone 5 Battery Original New",0.1000,1,4,81,5.8200,0,107,/f/i/file_1_7.jpg,"iPhone 5 Battery Original New
","iPhone 5 Battery Original New",,,
470,6G37,4,15,"For iPhone 6 Earpiece Filter",0.1000,1,4,86,0.3063,0,114,/6/g/6g37.jpg,"iPhone 6 Earpiece Filter
","iPhone 6 Earpiece Filter
",,,
400,5G69,4,15,"For iPhone 5 Backlight Ic Chip",0.0100,1,4,87,3.3691,0,107,/5/g/5g69.jpg,"iPhone 5 Backlight Ic Chip
","iPhone 5 Backlight Ic Chip
",,,
477,6G47,4,15,"For iPhone 6 Main Flex",0.1000,1,4,78,1.6080,0,114,/6/g/6g47.jpg;/6/g/6g47-1.jpg,"iPhone 6 Main Flex
","iPhone 6 Main Flex",,,
479,SAMN91002,4,15,"For Samsung N910 Camera Ring+Lens Set White",0.1000,1,4,86,0.9188,0,489,/s/a/samn91002.jpg;/s/a/samn91002-1.jpg," Samsung N910 Camera Ring+Lens Set White"," Samsung N910 Camera Ring+Lens Set White",,,
914,OP009,4,15,"For Oneplus 3 Battery",0.1000,1,4,81,5.2972,0,448,/o/p/opo09_.jpg;/o/p/opo09-2_.jpg;/o/p/opo09-3_.jpg,"Oneplus 3 Battery","Oneplus 3 Battery",,,
936,SON381,4,15,"For Sony Xperia Z2 D6503 Front Camera",0.1000,1,4,80,2.6953,0,382,/4/9/4912-51-son381.jpg;/s/o/son381-1.jpg;/s/o/son381.jpg," Sony Xperia Z2 D6503 Front Camera
"," Sony Xperia Z2 D6503 Front Camera
",,,
937,SON382,4,15,"For Sony Xperia D6503 Z2 Buzzer",0.1000,1,4,86,2.2052,0,382,/1/9/1935-51-son382.jpg,"Sony Xperia D6503 Z2 Buzzer
","Sony Xperia D6503 Z2 Buzzer
",,,
938,SON383,4,15,"For Sony Xperia Z2 Back Cover Black",0.1000,1,4,86,1.6080,0,382,/4/6/4616-51-son383-2.jpg;/4/6/4617-51-son383-3.jpg;/4/6/4615-51-son383_ttihlv.jpg,"Sony Xperia Z2 Back Cover Black
","Sony Xperia Z2 Back Cover Black
",,,
939,SON384,4,15,"For Sony Xperia Z2 Back Cover White",0.1000,1,4,86,0.9188,0,382,/s/o/sony-xperia-z2-back-cover-white-son384-gspelectronics-01.jpg;/s/o/sony-xperia-z2-back-cover-white-son384-gspelectronics-02.jpg;/s/o/sony-xperia-z2-back-cover-white-son384-gspelectronics-03.jpg,"Sony Xperia Z2 Back Cover White
","Sony Xperia Z2 Back Cover White
",,,
941,SON397,4,15,"For Sony Xperia D6503 Z2 Front Adhesive",0.1000,1,4,86,0.7700,0,382,/4/9/4913-51-son397.jpg;/s/o/son397.jpg;/s/o/son397-1.jpg,"Sony Xperia D6503 Z2 Front Adhesive
","Sony Xperia D6503 Z2 Front Adhesive
",,,
992,SON506,4,15,"For Sony Xperia M4 Aqua Front Adhesive",0.1000,1,4,86,0.3063,0,379,/s/o/sony-xperia-m4-aqua-front-adhesive-son506-gspelectronics.jpg,"Sony Xperia M4 Aqua Front Adhesive
","Sony Xperia M4 Aqua Front Adhesive
",,,
1104,7G56,4,15,"For iPhone 7 Camera Lens with Bezel",0.1000,1,4,80,0.4800,0,109,/7/g/7g56.jpg;/7/g/7g56-2.jpg,"iPhone 7 Camera Lens with Bezel
","iPhone 7 Camera Lens with Bezel
","For iPhone 7 Camera Lens with Bezel","For iPhone 7 Camera Lens with Bezel","For iPhone 7 Camera Lens with Bezel"
401,HT68,4,15,"For HTC One M7 LCD Complete Black",0.1000,1,4,77,24.8100,0,333,/6/3/639-51-ht68.jpg,"HTC One M7 LCD Complete Black","<p>HTC One M7 LCD Complete Black</p>
<p>Compatible With: HTC One M7</p>
<p><br />This item includes the following parts:<br />1. LCD Screen;<br />2. Digitizer Touch Screen;</p>
<p><br /><strong>This item does NOT include Front Housing.</strong><br /><strong>Notes: Please test the functionality of this item before installation.</strong></p>
<p><br />Features:<br />This part is a S+ grade product, which means 100% original manufactured and assembled and high quality.<br />This screen repalcement is compatible with&nbsp;HTC One M7 Series.<br />This complete LCD with digitizer here includes the LCD screen display, digitizer touch screen.</p>
<p><br />How to Install / Tips:<br />Please choose the right part before placing an order.<br />The flex cable ribbon is easily damaged. Handle carefully! When install the front camera flex assembly.<br />Special tooling is required when disassembling and reassembling the LCD Screen and Digitizer Assembly.<br />Please try to handle the repair or replacement work in a dry and dust free environment without direct sunlight.</p>
<p><br /><strong>NOTE:</strong><br /><strong>The installation of any new parts should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong><br /><br /></p>","For HTC One M7 LCD Complete Black","HTC ONE M7 LCD Screen ,
HTC ONE M7 screen replacement,
HTC ONE M7 lcd screen replacement,
HTC ONE M7 lcd price ,
HTC ONE M7 lcd screen sale ,
cheap  HTC ONE M7 lcd screen ,
HTC ONE M7 lcd display price ,
new screen for HTC ONE M7,
HTC ONE M7 screens lcd and digitizer ,
HTC ONE M7 lcd screen for sale,
HTC ONE M7 LCD display,
HTC ONE M7 screen repairs","For HTC One M7 LCD Complete Black"
444,sm176,4,15,"For Samsung Galaxy Note 3 N9005 Audio Jack",0.1000,1,4,86,1.6080,0,490,/1/8/1813-51-sm176_1.jpg,"Samsung Galaxy Note 3 N9005 Audio Jack","Samsung Galaxy Note 3 N9005 Audio Jack",,,
445,HT328,4,15,"For HTC One M7 Back Cover White",0.1000,1,4,,8.2695,0,333,/o/n/onem7backcover_1.jpg,"HTC One M7 Back Cover White","HTC One M7 Back Cover White",,,
496,SAMJ310F01,4,15,"For Samsung J3 (2016) Battery Original",0.1000,1,4,81,6.6400,0,1007,/s/a/samj310f01_1_1.jpg,"Samsung J3 (2016) Battery Original","Samsung J3 (2016) Battery Original",,,
