id,sku,entity_type_id,attribute_set_id,name,weight,status,visibility,price,tax,category_ids,media,short_desc,desc
1104,8806085285347,4,4,"Samsung Galaxy Note 2 Pen",1.0000,1,4,20.0000,0,221;602,/8/8/8806085285347.jpg,"Samsung Galaxy Note 2 Pen",
3653,SM149,4,4,"Samsung GT-N7100 Galaxy Note 2 Speaker White",1.0000,1,4,18.0000,0,221,/s/m/sm149.jpg,"Samsung GT-N7100 Galaxy Note 2 Speaker White","Samsung Galaxy Note 2 N7100 Speaker White<br />Compatible With: Samsung Galaxy Note 2 N7100<br /><br />Features:<br />&bull; This&nbsp;Samsung Galaxy Note 2 N7100 loudspeaker assembly is brand new and original replacement.<br />&bull; Compatible with&nbsp;Samsung Galaxy Note 2 N7100 only.<br />&bull; This&nbsp;Samsung Galaxy Note 2 N7100 loud speaker module including the loudspeaker and signal module.<br />&bull; It is used to replace the broken/faulty buzzer ringer loudspeaker or antenna for Samsung Galaxy Note 2 N7100.<br /><br />How to Install / Tips:<br />&bull;Highly recommend professional installation.<br />&bull;Please check your model before ordering.<br />&bull; Repair tools needed: Phillips screwdriver, suction cup, guitar pick, tweezers and spudger.<br />&bull;Must-have items needed to finish the installation: Back cover sticker.<br /><br /><strong>NOTE:</strong><br /><strong>● The installation of any new parts should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong>"
3918,GH97-14112A,4,4,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch white",0.0000,2,4,1100.0000,0,221,/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-01.jpg;/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-03.jpg;/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-02.jpg,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch white",
4279,SM348,4,4,"Samsung GT-N7100 Galaxy Note 2 Front Frame With Adhesive White",1.0000,1,4,45.5600,0,221,/s/m/sm348-2.jpg;/s/m/sm348.jpg,"Samsung GT-N7100 Galaxy Note 2 Front Frame With Adhesive White","Samsung Galaxy Note 2 N7100 Front Frame W.Adhesive White"
4280,SM347,4,4,"Samsung GT-N7100 Galaxy Note 2 Front Frame With Adhesive Gray",1.0000,1,4,45.5600,0,221,/s/m/sm347.jpg;/s/m/sm347-2.jpg,"Samsung GT-N7100 Galaxy Note 2 Front Frame With Adhesive Gray","Samsung Galaxy Note 2 N7100 Front Frame W.Adhesive Gray<br />
<p>Compatible With:&nbsp;Samsung Galaxy Note 2 N7100<br />Features: <br />This Samsung Galaxy Note 2 N7100&nbsp;Replacement is 100%original and brand new. <br />It is compatible with Samsung Galaxy Note 2 N7100&nbsp;only. <br /><br />How to Install/Tips: <br />Please try to handle the repair or replacement work in a dry and dust free environment without direct sunlight. <br />The replacement of this Samsung Galaxy Note 2 N7100&nbsp;part needs professional skills. <br />You should be very careful not to damage the clips around if you assemble it by yourself. <br /><br /><strong>NOTE: </strong><br /><strong>The installation of this part should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong></p>
<br /><br />"
4281,SM340,4,4,"Samsung GT-N7100 Galaxy Note 2 Home Button Flex",1.0000,1,4,29.4800,0,221,/s/m/sm340.jpg,"Samsung GT-N7100 Galaxy Note 2 Home Button Flex","Samsung Galaxy Note 2 N7100 home button flex<br />
<p>Compatible With: Samsung Galaxy Note 2 N7100&nbsp;<br /><br />Features: <br />This part is used to replace the defective Samsung Galaxy Note 2 N7100&nbsp;&nbsp;Home Button flex in your device. <br />This Home Button flex is only compatible with Samsung Galaxy Note 2 N7100&nbsp;&nbsp;only. <br /><br />How to Install / Tips: <br />● Please choose the right part before placing an order. <br />● Please try to handle the repair or replacement work in a dry and dust free environment without direct sunlight. <br />● Special tooling is required when disassembling and reassembling the Samsung Galaxy Note 2 N7100&nbsp;. <br /><br /><strong>NOTE:</strong><br /><strong>● The installation of any new parts should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong></p>"
4284,SM380,4,4,"Samsung GT-N7100 Galaxy Note 2 LCD Back Adhesive",1.0000,2,4,12.0600,0,221,/s/m/sm380-samsung-galaxy-note2-back-adhesive.jpg,"Samsung GT-N7100 Galaxy Note 2 LCD Back Adhesive","Samsung Galaxy Note 2 LCD back adhesive<br />Compatible With: Samsung Galaxy Note 2<br /><br />Features:<br />&bull; When you are replacing the old or broken digitizer frame, you need a new back housing adhesive sticker for Samsung Galaxy Note 2, for the old adhesive sticker is no longer useful because of dust pollution or cracks.<br />&bull;Samsung Galaxy Note 2 LCD screen assembly is easy broken, so we need to dismantle it from the Front supporting frame when we fix it by ourselves. In the process, the digitizer frame adhesive sticker between the two LCD and frame is no longer strong enough to fasten them together.<br />&bull; This adhesive is the waterproof sticker adhesive for your Samsung Galaxy Note 2.<br />&bull; This digitizer frame adhesive is compatible with&nbsp;Samsung Galaxy Note 2 only. Please do not confuse it with other version.<br /><br />How to Install / Tips:<br />&bull; Please try to handle the repair or replacement work in a dry and dust free environment without direct sunlight.<br />&bull; Please check your model before ordering this&nbsp;Samsung Galaxy Note 2 adhesive.<br /><br /><strong>NOTE:</strong><br /><strong>&bull; The installation of the Samsung Galaxy Note 2 should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong><br /><br /><br />"
4521,SM435,4,4,"Samsung GT-N7100 Galaxy Note 2 Home Button White",1.0000,2,4,19.0000,0,221,/s/m/sm435-samsung-galaxy-note2-n7100-home-button-white.jpg,"Samsung GT-N7100 Galaxy Note 2 Home Button White","<p>Samsung Galaxy Note 2 N7100 Home Button White<br />Compatible With: Samsung Galaxy Note 2 N7100<br /><br />Features:<br />● This Samsung Galaxy Note 2 N7100 Home Button Assembly with flex cable is brand new original replacement.<br />● This item includes flex cable already attached compatible with Samsung Galaxy Note 2 N7100.<br /><br />How to Install / Tips:<br />● Please choose the right part before placing an order.<br />● Special tooling is required when disassembling and reassembling the Samsung Galaxy Note 2 N7100 Home Button Assembly with Flex Cable.<br /><br /><strong>NOTE:</strong><br /><strong>● The installation of any new parts should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong></p>"
4522,TOL31,4,4,"Samsung GT-N7100 Galaxy Note 2 OCA",0.0000,2,4,13.0000,0,221,/t/o/tol31.jpg,"Samsung GT-N7100 Galaxy Note 2 OCA","<h4>
 Note 2 OCA   
</h4>"
7909,GH97+14112A,4,4,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch white ",1.0000,1,4,1100.0000,0,221,/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-03_1.jpg;/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-02_1.jpg;/s/a/samsung-galaxy-note-2-n7100-lcd-touch-white-gh97-14112a-gspelectronics-01_1.jpg,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch white ","Samsung GT-N7100 Galaxy Note 2 LCD + Touch white "
7935,GH97+14112B,4,4,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch Grey ",1.0000,1,4,1100.0000,0,221,/1/4/1497-51-gh97-14112b_1.jpg,"Samsung GT-N7100 Galaxy Note 2 LCD + Touch Grey ","Samsung GT-N7100 Galaxy Note 2 LCD + Touch Grey "
401,SM345,4,4,"Samsung GT-N7105 Galaxy Note 2 Home Button Flex",0.0000,1,4,29.4800,0,222,/2/2/2296-51-sm345.jpg,"Samsung GT-N7105 Galaxy Note 2 Home Button Flex",
444,SM208,4,4,"Samsung GT-N7105 Galaxy Note 2 Touch White",0.0000,1,4,37.5200,0,222,/1/5/1591-51-sm208.jpg,"Samsung GT-N7105 Galaxy Note 2 Touch White",
445,SM207,4,4,"Samsung GT-N7105 Galaxy Note 2 Touch Grey",1.0000,1,4,55.0000,0,222,/t/o/touch-grey-samsung-galaxy-note-2-sm207-gspelectronics-2.jpg;/t/o/touch-grey-samsung-galaxy-note-2-sm207-gspelectronics-1.jpg,"Samsung GT-N7105 Galaxy Note 2 Touch Grey",
496,SM109,4,4,"Samsung GT-N7105 Galaxy Note 2 LTE Charge Connector",1.0000,1,4,12.0000,0,222,/c/h/charge-connector-samsung-galaxy-note-2-sm109-gspelectronics-01.jpg;/c/h/charge-connector-samsung-galaxy-note-2-sm109-gspelectronics-02.jpg,"Samsung GT-N7105 Galaxy Note 2 LTE Charge Connector",
497,SM108,4,4,"Samsung GT-N7105 Galaxy Note 2 LTE Sim Reader",1.0000,1,4,65.6600,0,222,/9/7/979-51-sm108.jpg,"Samsung GT-N7105 Galaxy Note 2 LTE Sim Reader",
912,GH97-14114A,4,4,"Samsung GT-N7105 Galaxy Note 2 LTE LCD + Touch White",0.0000,2,4,1199.0000,0,222,/2/2/2295-51-gh97-14114a.jpg,"Samsung GT-N7105 Galaxy Note 2 LTE LCD + Touch White","<h>
Samsung Galaxy Note 2 N7105 LTE LCD + Touch White
</h><br>
<b>Quality:</b> Original new part from Samsung."
935,FM49,4,4,"Samsung GT-N7105 Galaxy Note 2 LTE Charge Flex",0.0000,1,4,66.0000,0,222,/2/2/2292-51-fm49.jpg,"Samsung GT-N7105 Galaxy Note 2 LTE Charge Flex",
